"countryorarea","region","lnrchange","lncaseload_lastobs","lnexpo","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty","lnhiv","lnasthma","lntraffic","nrows"
"Côte d'Ivoire","Western Sub-Saharan Africa",0.383003085851669,5.18738603591919,2.99573230743408,-0.916290700435638,-0.673344552516937,0,1.62727785110474,3.78418970108032,3.33220458030701,7.83827018737793,13.714786529541,13.566385269165,1
"Croatia","Central Europe",0.0769995003938675,6.76503896713257,3.55534815788269,-0.2231435328722,-0.562118947505951,2.56494927406311,1.09527337551117,4.29045963287354,4.47733688354492,2.56827569007874,12.1041107177734,14.5543842315674,1001
"Cuba","Caribbean",0.299591600894928,5.22574663162231,2.94443893432617,-0.24846139550209,-0.261364787817001,2.30258512496948,1.14422285556793,4.60517024993896,4.34380531311035,5.35737752914429,13.4969453811646,13.2370376586914,1001
"Cyprus","Western Europe",0.185111477971077,5.5683445930481,3.09104251861572,-0.105360545217991,-0.385662466287613,2.19722461700439,1.01160097122192,4.30406522750854,4.51085948944092,3.43176078796387,11.1226034164429,12.9027338027954,1
"Czechia","Central Europe",0.328186869621277,8.10409927368164,3.40119743347168,-0.0943106487393379,-0.301105082035065,2.56494927406311,0.875468790531158,4.20469284057617,4.49980974197388,2.53998351097107,12.8170728683472,15.5607376098633,1
"Dem. People's Rep. of Korea","East Asia",NA,NA,0,-0.562118947505951,-0.478035807609558,1.94591009616852,1.36863946914673,4.14313459396362,3.98898410797119,4.05431509017944,13.627269744873,11.5479068756104,1001
"Dem. Republic of the Congo","Central Sub-Saharan Africa",0.386864304542542,4.58496761322021,2.99573230743408,-1.42711639404297,-0.798507750034332,0,1.66770684719086,3.52636051177979,3.43398714065552,6.38603973388672,14.9958505630493,13.7451343536377,1
"Denmark","Western Europe",0.454007685184479,5.18738603591919,3.29583692550659,-0.0833815932273865,-0.127833381295204,2.56494927406311,0.90779783076467,4.5643482208252,4.53259944915771,4.53976392745972,12.6389780044556,NA,1001
"Djibouti","Eastern Sub-Saharan Africa",0.328940719366074,3.40119743347168,2.56494927406311,-0.733969211578369,-0.24846139550209,0.6931471824646,1.65210976314545,3.61091780662537,3.61091780662537,6.96358728408813,10.6870346069336,NA,1001
"Dominica","Caribbean",0.0124301966279745,2.4849066734314,2.19722461700439,-0.24846139550209,-0.342490345239639,2.0794415473938,1.15286108673736,4.24849510192871,4.12713432312012,4.60272455215454,8.41259288787842,NA,1001
"Dominican Republic","Caribbean",0.243535444140434,7.01121377944946,3.40119743347168,-0.342490345239639,-0.2231435328722,1.60943794250488,1.60943794250488,3.8712010383606,4.12713432312012,6.50683641433716,13.2409143447876,NA,812
"Ecuador","Andean Latin America",0.109607875347137,7.71423101425171,3.40119743347168,-0.342490345239639,-0.446287125349045,1.60943794250488,1.32972395420074,4.29045963287354,4.1588830947876,5.43320989608765,13.5846071243286,15.4954557418823,1
"Egypt","North Africa and Middle East",0,6.56526517868042,3.82864141464233,-0.430782943964005,-0.843970060348511,0.6931471824646,1.43270075321198,4.40671920776367,4.09434461593628,1.59463059902191,15.5963296890259,16.3284244537354,1
"El Salvador","Central Latin America",0.181215897202492,3.465735912323,2.4849066734314,-0.430782943964005,-0.35667496919632,1.60943794250488,1.40364301204681,4.31748819351196,4.17438745498657,5.89590406417847,12.6213331222534,14.7496824264526,1
"Equatorial Guinea","Central Sub-Saharan Africa",0.0990210250020027,2.4849066734314,2.7725887298584,-0.415515393018723,-0.342490345239639,0,1.67249576854706,3.09104251861572,3.95124363899231,8.29574871063232,11.1625061035156,13.0528736114502,1001
"Eritrea","Eastern Sub-Saharan Africa",0.130898669362068,2.70805025100708,2.30258512496948,-1.04982209205627,-0.916290700435638,0,1.72897478765249,3.55534815788269,3.36729574203491,6.35286998748779,12.3381681442261,11.539849281311,1001
"Estonia","Eastern Europe",0.297063082456589,6.61338424682617,3.49650764465332,-0.127833381295204,-0.371063679456711,2.63905739784241,0.85441529750824,4.30406522750854,4.46590805053711,5.60054349899292,10.4797735214233,10.3728971481323,1
"Ethiopia","Eastern Sub-Saharan Africa",0.0990210250020027,3.25809645652771,2.89037179946899,-1.10866260528564,-1.60943794250488,0.6931471824646,1.57277393341064,4.06044292449951,3.40119743347168,6.81450033187866,15.1844902038574,16.2579650878906,1
"Fiji","Oceania",0,1.60943794250488,2.4849066734314,-0.342490345239639,-0.579818487167358,1.0986123085022,1.84054970741272,4.14313459396362,3.89182019233704,3.88067269325256,11.3694229125977,14.3284635543823,1
"Finland","Western Europe",0,7.25700283050537,4.12713432312012,-0.0943106487393379,-0.35667496919632,2.70805025100708,0.727548599243164,4.54329490661621,4.57471084594727,3.6304919719696,12.7065296173096,16.4081382751465,1001
"France","Western Europe",0.262935668230057,6.5496506690979,3.29583692550659,-0.162518903613091,-0.2231435328722,2.56494927406311,1.05779027938843,4.40671920776367,4.52178859710693,4.8773717880249,15.2220935821533,18.0666885375977,1001
"Gabon","Central Sub-Saharan Africa",0.121042549610138,2.7725887298584,2.83321332931519,-0.400477528572083,-0.116533830761909,1.0986123085022,1.6034197807312,3.68887948989868,3.7376697063446,7.81609964370728,11.4241352081299,NA,1001
"Gambia","Western Sub-Saharan Africa",0.0990210250020027,1.3862943649292,2.63905739784241,-1.07880961894989,-0.494296312332153,0.6931471824646,2.10778594017029,3.55534815788269,3.58351898193359,7.11640310287476,11.1215353012085,10.8918199539185,1001
"Georgia","Central Asia",0.229919701814651,4.70048046112061,3.52636051177979,-0.261364787817001,-0.544727206230164,2.19722461700439,1.25846099853516,4.18965482711792,4.21950769424438,4.81988716125488,11.7496290206909,13.1539278030396,1001
