"","Est","Var","Country","Date","Exposure","Upper","Lower"
"555",5.93778049754909,0.144456886347486,"Liberia",2020-06-13,90,6.22669427024406,5.64886672485412
"556",5.95328025787875,0.145982018313915,"Liberia",2020-06-14,91,6.24524429450658,5.66131622125092
"557",5.97494233495383,0.145894569374463,"Liberia",2020-06-15,92,6.26673147370275,5.6831531962049
"558",5.99336590567385,0.150283348726126,"Liberia",2020-06-16,93,6.2939326031261,5.69279920822159
"559",6.01085304996247,0.156268255761272,"Liberia",2020-06-17,94,6.32338956148502,5.69831653843993
"560",6.03152056097958,0.154135454033323,"Liberia",2020-06-18,95,6.33979146904623,5.72324965291293
"561",6.05158157640875,0.158549037330986,"Liberia",2020-06-19,96,6.36867965107073,5.73448350174678
"562",6.06943227560127,0.161571641708537,"Liberia",2020-06-20,97,6.39257555901834,5.7462889921842
"563",6.0893347373439,0.162403264692566,"Liberia",2020-06-21,98,6.41414126672904,5.76452820795877
"564",6.10633334132074,0.165357051322498,"Liberia",2020-06-22,99,6.43704744396574,5.77561923867575
"565",6.1268432608593,0.171282486058623,"Liberia",2020-06-23,100,6.46940823297655,5.78427828874205
"566",6.14447273627211,0.172422793757594,"Liberia",2020-06-24,101,6.4893183237873,5.79962714875692
"567",6.16613487283696,0.176767160797552,"Liberia",2020-06-25,102,6.51966919443206,5.81260055124185
"568",6.18849502917515,0.180453606782777,"Liberia",2020-06-26,103,6.5494022427407,5.8275878156096
"569",5.37788062712459,0.13140404471056,"Libya",2020-06-06,75,5.64068871654571,5.11507253770347
"570",5.44544268652975,0.133327695881966,"Libya",2020-06-07,76,5.71209807829368,5.17878729476582
"571",5.51785833180867,0.134927222014773,"Libya",2020-06-08,77,5.78771277583822,5.24800388777913
"572",5.58675443005828,0.136359170776987,"Libya",2020-06-09,78,5.85947277161225,5.3140360885043
"573",5.6537629478484,0.140998551226231,"Libya",2020-06-10,79,5.93576005030086,5.37176584539594
"574",5.71850394075846,0.142333248935415,"Libya",2020-06-11,80,6.00317043862929,5.43383744288763
"575",5.7931119984973,0.144003380471694,"Libya",2020-06-12,81,6.08111875944068,5.50510523755391
"576",5.85754087847941,0.148333897814323,"Libya",2020-06-13,82,6.15420867410806,5.56087308285077
"577",5.92863697548321,0.1474119815801,"Libya",2020-06-14,83,6.22346093864341,5.63381301232301
"578",5.99744371509212,0.151690554527401,"Libya",2020-06-15,84,6.30082482414692,5.69406260603732
"579",6.06302729081117,0.152298398711007,"Libya",2020-06-16,85,6.36762408823319,5.75843049338916
"580",6.12788689383882,0.154410987918129,"Libya",2020-06-17,86,6.43670886967508,5.81906491800256
"581",6.20164150930595,0.154189475515972,"Libya",2020-06-18,87,6.51002046033789,5.89326255827401
"582",6.26963264217676,0.16161752339624,"Libya",2020-06-19,88,6.59286768896924,5.94639759538428
"583",6.334894692216,0.164810787434057,"Libya",2020-06-20,89,6.66451626708411,6.00527311734788
"584",6.40839120456369,0.165216380760093,"Libya",2020-06-21,90,6.73882396608388,6.07795844304351
"585",6.47679736754135,0.168075173680517,"Libya",2020-06-22,91,6.81294771490239,6.14064702018032
"586",6.5438801749231,0.171357102574585,"Libya",2020-06-23,92,6.88659438007227,6.20116596977393
"587",6.61144212192452,0.173946419546942,"Libya",2020-06-24,93,6.9593349610184,6.26354928283064
"588",6.68153687549522,0.175268343375405,"Libya",2020-06-25,94,7.03207356224603,6.33100018874441
"589",6.75001241167442,0.179564440617968,"Libya",2020-06-26,95,7.10914129291036,6.39088353043849
"590",7.02701290046303,0.13190874228647,"Madagascar",2020-06-06,79,7.29083038503597,6.76319541589009
"591",7.08975184577178,0.131515072198403,"Madagascar",2020-06-07,80,7.35278199016859,6.82672170137497
"592",7.15284998224545,0.136122334000326,"Madagascar",2020-06-08,81,7.42509465024611,6.8806053142448
"593",7.2203341434534,0.13948842889876,"Madagascar",2020-06-09,82,7.49931100125092,6.94135728565588
"594",7.28359687830452,0.138811315304296,"Madagascar",2020-06-10,83,7.56121950891311,7.00597424769593
"595",7.34599637140568,0.141875014818674,"Madagascar",2020-06-11,84,7.62974640104303,7.06224634176833
"596",7.41215849718398,0.144192948153793,"Madagascar",2020-06-12,85,7.70054439349156,7.12377260087639
"597",7.47627469618705,0.14615789333528,"Madagascar",2020-06-13,86,7.76859048285761,7.1839589095165
"598",7.53919234207462,0.14898690912762,"Madagascar",2020-06-14,87,7.83716616032986,7.24121852381938
"599",7.60282752264585,0.153432052661746,"Madagascar",2020-06-15,88,7.90969162796934,7.29596341732236
"600",7.66455102584282,0.151703449738203,"Madagascar",2020-06-16,89,7.96795792531923,7.36114412636642
"601",7.73210956405484,0.156585067347656,"Madagascar",2020-06-17,90,8.04527969875015,7.41893942935952
"602",7.79346634119095,0.160458298347761,"Madagascar",2020-06-18,91,8.11438293788647,7.47254974449543
"603",7.85665183014919,0.160675256184164,"Madagascar",2020-06-19,92,8.17800234251752,7.53530131778086
"604",7.92561350694764,0.163129936366168,"Madagascar",2020-06-20,93,8.25187337967998,7.59935363421531
"605",7.9867371214216,0.16567306281304,"Madagascar",2020-06-21,94,8.31808324704769,7.65539099579552
"606",8.04958232425999,0.169748006289181,"Madagascar",2020-06-22,95,8.38907833683835,7.71008631168163
"607",8.11421060050555,0.172774783427081,"Madagascar",2020-06-23,96,8.45976016735971,7.76866103365139
"608",8.17760346236773,0.177347446147344,"Madagascar",2020-06-24,97,8.53229835466242,7.82290857007304
"609",8.24176711271691,0.180563972740527,"Madagascar",2020-06-25,98,8.60289505819796,7.88063916723585
"610",8.30672440760329,0.182379488130324,"Madagascar",2020-06-26,99,8.67148338386393,7.94196543134264
"611",6.17832448828825,0.131742974772937,"Malawi",2020-06-06,66,6.44181043783413,5.91483853874238
"612",6.28249578828989,0.135690353345821,"Malawi",2020-06-07,67,6.55387649498154,6.01111508159825
"613",6.39671631479962,0.135485271753645,"Malawi",2020-06-08,68,6.66768685830691,6.12574577129233
"614",6.50131742653377,0.136570139895906,"Malawi",2020-06-09,69,6.77445770632558,6.22817714674196
"615",6.61498492365661,0.140002463187614,"Malawi",2020-06-10,70,6.89498985003184,6.33497999728139
"616",6.71826399407796,0.141809754781767,"Malawi",2020-06-11,71,7.0018835036415,6.43464448451443
"617",6.82977027211002,0.142141316005199,"Malawi",2020-06-12,72,7.11405290412042,6.54548764009962
"618",6.94195627237054,0.144716500321472,"Malawi",2020-06-13,73,7.23138927301349,6.6525232717276
"619",7.05446539100535,0.148750317392028,"Malawi",2020-06-14,74,7.35196602578941,6.7569647562213
"620",7.15981067474824,0.151337415438035,"Malawi",2020-06-15,75,7.46248550562431,6.85713584387217
