"Country_Region","Confirmed","Deaths","Recovered","Date","New Cases","New Deaths","New Recoveries","DaysSince","Exposure","prediction","Day","upper","lower"
"Congo (Brazzaville)",60,5,5,2020-04-13,0,0,0,13,30,24.7977226316373,13,114.193666366256,5.38494880918658
"Congo (Kinshasa)",235,20,17,2020-04-13,1,0,1,13,34,1158.10365624141,13,5498.66288673312,243.914585459624
"Cote d'Ivoire",626,6,89,2020-04-13,52,1,4,13,34,1051.44395732037,13,5236.85912964318,211.106384192704
"Eswatini",15,0,7,2020-04-13,1,0,0,13,31,308.042368779085,13,1577.55364396618,60.15015801584
"Sao Tome and Principe",4,0,0,2020-04-13,0,0,0,13,8,NA,13,NA,NA
"Congo (Brazzaville)",60,5,5,2020-04-14,0,0,0,14,31,26.2719270008437,14,121.10518693867,5.69929468576104
"Congo (Kinshasa)",241,20,20,2020-04-14,6,0,3,14,35,1218.51939340524,14,5790.68695317465,256.409908549912
"Cote d'Ivoire",638,6,114,2020-04-14,12,0,25,14,35,1106.29549105452,14,5514.97927083418,221.920999776023
"Eswatini",15,0,8,2020-04-14,0,0,1,14,32,325.737782952969,14,1669.81349389198,63.5430864771655
"Sao Tome and Principe",4,0,0,2020-04-14,0,0,0,14,9,NA,14,NA,NA
"Congo (Brazzaville)",117,5,11,2020-04-15,57,0,6,15,32,27.7811110310464,15,128.187764621233,6.02077844480552
"Congo (Kinshasa)",254,21,21,2020-04-15,13,1,1,15,36,1280.19822944582,15,6089.07883005274,269.155245385782
"Cote d'Ivoire",638,6,114,2020-04-15,0,0,0,15,36,1162.29379405608,15,5799.16403662707,232.952000524372
"Eswatini",15,0,8,2020-04-15,0,0,0,15,33,343.839369101186,15,1764.2821856697,67.0105455375465
"Sao Tome and Principe",4,0,0,2020-04-15,0,0,0,15,10,NA,15,NA,NA
"Congo (Brazzaville)",117,5,11,2020-04-16,0,0,0,16,33,29.3249361407797,16,135.439910039133,6.349324061219
"Congo (Kinshasa)",267,22,23,2020-04-16,13,1,2,16,37,1343.12935052818,16,6393.7894803938,282.148240535932
"Cote d'Ivoire",654,6,146,2020-04-16,16,0,32,16,37,1219.4290484289,16,6089.36672480937,244.197347828277
"Eswatini",16,1,8,2020-04-16,1,1,0,16,34,362.343320029203,16,1860.9410954941,70.551766462509
"Sao Tome and Principe",4,0,0,2020-04-16,0,0,0,16,11,NA,16,NA,NA
"Congo (Brazzaville)",143,6,11,2020-04-17,26,1,0,17,34,30.9030776268753,17,142.860193485469,6.6848586965537
"Congo (Kinshasa)",287,23,25,2020-04-17,20,1,2,17,38,1407.30233629064,17,6704.77161103756,295.386626215386
"Cote d'Ivoire",688,6,193,2020-04-17,34,0,47,17,38,1277.69179351177,17,6385.54229395489,255.655078935549
"Eswatini",16,1,8,2020-04-17,0,0,0,17,35,381.245979812868,17,1959.77232278721,74.1660117522007
"Sao Tome and Principe",4,0,0,2020-04-17,0,0,0,17,12,NA,17,NA,NA
"Congo (Brazzaville)",143,6,11,2020-04-18,0,0,0,18,35,32.5152236875204,18,150.447240773839,7.02731247187705
"Congo (Kinshasa)",307,25,26,2020-04-18,20,2,1,18,39,1472.70713517365,18,7021.979564679,308.868216720669
"Cote d'Ivoire",801,8,239,2020-04-18,113,2,46,18,39,1337.0729034795,18,6687.64726060609,267.32330213497
"Eswatini",22,1,8,2020-04-18,6,0,0,18,36,400.543833466869,18,2060.75864142486,77.8525729812814
"Sao Tome and Principe",4,0,0,2020-04-18,0,0,0,18,13,NA,18,NA,NA
"Congo (Brazzaville)",143,6,11,2020-04-19,0,0,0,19,36,34.1610745411148,19,158.199729494118,7.3766182630988
"Congo (Kinshasa)",327,25,26,2020-04-19,20,0,0,19,40,1539.33404191058,19,7345.36922128813,322.590903356825
"Cote d'Ivoire",847,9,260,2020-04-19,46,1,21,19,40,1397.56356690669,19,6995.63960538717,279.200192365661
"Eswatini",22,1,8,2020-04-19,0,0,0,19,37,420.233497597011,19,2163.88345556751,81.6107688462837
"Sao Tome and Principe",4,0,0,2020-04-19,0,0,0,19,14,NA,19,NA,NA
"Congo (Brazzaville)",160,6,16,2020-04-20,17,0,5,20,37,35.8403416290343,20,166.116385621688,7.73271151595641
"Congo (Kinshasa)",332,25,27,2020-04-20,5,0,1,20,41,1607.17367693962,20,7674.89790787073,336.552649801206
"Cote d'Ivoire",847,9,260,2020-04-20,0,0,0,20,41,1459.15526807582,20,7309.47868706157,291.283987204475
"Eswatini",24,1,8,2020-04-20,2,0,0,20,38,440.31171191762,20,2269.13075954352,85.4399433952533
"Sao Tome and Principe",4,0,0,2020-04-20,0,0,0,20,15,NA,20,NA,NA
"Congo (Brazzaville)",165,6,16,2020-04-21,5,0,0,21,38,37.5527468921771,21,174.195980437768,8.09553007827133
"Congo (Kinshasa)",350,25,35,2020-04-21,18,0,8,21,42,1676.21696752872,21,8010.52431567174,350.75148785633
"Cote d'Ivoire",916,13,303,2020-04-21,69,4,43,21,42,1521.83976984056,21,7629.12516367731,303.572983190126
"Eswatini",31,1,8,2020-04-21,7,0,0,21,39,460.775331532532,21,2376.48510131229,89.339464418134
"Sao Tome and Principe",4,0,0,2020-04-21,0,0,0,21,16,NA,21,NA,NA
"Congo (Brazzaville)",186,6,16,2020-04-22,21,0,0,22,39,39.2980221126359,22,182.437327724567,8.46501404743639
"Congo (Kinshasa)",359,25,45,2020-04-22,9,0,10,22,43,1746.4551304321,22,8352.20842403878,365.185513550402
"Cote d'Ivoire",952,14,310,2020-04-22,36,1,7,22,43,1585.60909787958,22,7954.54092005569,316.065532448212
"Eswatini",31,1,8,2020-04-22,0,0,0,22,40,481.621319892467,22,2485.93154910128,93.3087219794209
"Sao Tome and Principe",4,0,0,2020-04-22,0,0,0,22,17,NA,22,NA,NA
"Congo (Brazzaville)",186,6,16,2020-04-23,0,0,0,23,40,41.0759083130544,23,190.83928120408,8.8411056313829
"Congo (Kinshasa)",377,25,47,2020-04-23,18,0,2,23,44,1817.87965592046,23,8699.9114302633,379.852883549352
"Cote d'Ivoire",1004,14,359,2020-04-23,52,0,49,23,44,1650.45552619753,23,8285.68900097269,328.760039585865
"Eswatini",31,1,8,2020-04-23,0,0,0,23,41,502.846742353528,23,2597.45566086586,97.347127077144
"Sao Tome and Principe",4,0,0,2020-04-23,0,0,0,23,18,NA,23,NA,NA
"Congo (Brazzaville)",200,6,19,2020-04-24,14,0,3,24,41,42.8861552072529,24,199.400732193591,9.22374902151787
"Congo (Kinshasa)",394,25,48,2020-04-24,17,0,1,24,45,1890.48229304618,24,9053.59568480006,394.751811848785
"Cote d'Ivoire",1077,14,419,2020-04-24,73,0,60,24,45,1716.37156374733,24,8622.53354946297,341.654958828652
"Eswatini",36,1,10,2020-04-24,5,0,2,24,42,524.448760271609,24,2711.04345626796,101.454110414393
"Sao Tome and Principe",4,0,0,2020-04-24,0,0,0,24,19,NA,24,NA,NA
"Congo (Brazzaville)",200,6,19,2020-04-25,0,0,0,25,42,44.7285206965599,25,208.120607454545,9.61289027632473
"Congo (Kinshasa)",416,28,49,2020-04-25,22,3,1,25,46,1964.25503602206,25,9413.22463133934,409.880566718088
"Cote d'Ivoire",1077,14,419,2020-04-25,0,0,0,25,46,1783.34994206338,25,8965.03974974527,354.748791375723
"Eswatini",56,1,10,2020-04-25,20,0,0,25,43,546.424625576051,25,2826.6813909089,105.6291212714
"Sao Tome and Principe",4,0,0,2020-04-25,0,0,0,25,20,NA,25,NA,NA
"Congo (Brazzaville)",200,6,19,2020-04-26,0,0,0,26,43,46.6027704070169,26,216.997867214449,10.0084772144918
"Congo (Kinshasa)",442,28,50,2020-04-26,26,0,1,26,47,2039.19011160618,26,9778.76275126723,425.237467872258
"Cote d'Ivoire",1150,14,468,2020-04-26,73,0,49,26,47,1851.38360380828,26,9313.17377432705,368.040082952044
"Eswatini",59,1,10,2020-04-26,3,0,0,26,44,568.77167577305,26,2944.35633258507,109.87162646773
"Sao Tome and Principe",4,0,0,2020-04-26,0,0,0,26,21,NA,26,NA,NA
"Congo (Brazzaville)",200,6,19,2020-04-27,0,0,0,27,44,48.5086772632356,27,226.031503344088,10.4104593165787
"Congo (Kinshasa)",459,28,50,2020-04-27,17,0,0,27,48,2115.27996739829,27,10150.1755121036,440.820883849842
"Cote d'Ivoire",1164,14,499,2020-04-27,14,0,31,27,48,1920.46569214711,27,9666.90273489759,381.527421539031
"Eswatini",65,1,10,2020-04-27,6,0,0,27,45,591.487329335504,27,3064.05553936399,114.181109405435
"Sao Tome and Principe",4,0,0,2020-04-27,0,0,0,27,22,NA,27,NA,NA
"Congo (Brazzaville)",207,8,19,2020-04-28,7,2,0,28,45,50.4460210952123,28,235.220537674464,10.8187876343541
"Congo (Kinshasa)",471,30,56,2020-04-28,12,2,6,28,49,2192.51726096367,28,10527.4293195537,456.6292295779
"Cote d'Ivoire",1183,14,525,2020-04-28,19,0,26,28,49,1990.58954087293,28,10026.1946366624,395.209435267034
"Eswatini",71,1,10,2020-04-28,6,0,0,28,46,614.56908144122,28,3185.76663930257,118.55706918514
"Sao Tome and Principe",8,0,4,2020-04-28,4,0,4,28,23,NA,28,NA,NA
"Congo (Brazzaville)",207,8,19,2020-04-29,0,0,0,29,46,52.4145882748546,29,244.56402043982,11.2334147070442
"Congo (Kinshasa)",491,30,59,2020-04-29,20,0,3,29,50,2270.8948497097,29,10910.4914728497,472.660964106975
"Cote d'Ivoire",1238,14,557,2020-04-29,55,0,32,29,50,2061.74866521576,29,10391.0183358109,409.084790454969
"Eswatini",91,1,10,2020-04-29,20,0,0,29,47,638.014500025954,29,3309.47761165057,122.999019788005
"Sao Tome and Principe",8,0,4,2020-04-29,0,0,0,29,24,NA,29,NA,NA
"Congo (Brazzaville)",220,9,19,2020-04-30,13,1,0,30,47,54.4141713793574,30,254.061028834669,11.6542944838222
