"","Est","Var","Country","Date","Upper","Lower"
"706",13.0595216453922,0.0708343051252693,"Morocco",2020-12-26,13.2011902556427,12.9178530351416
"707",13.0711450191619,0.0711606412014561,"Morocco",2020-12-27,13.2134663015648,12.928823736759
"708",13.0823163435743,0.0726747237837365,"Morocco",2020-12-28,13.2276657911417,12.9369668960068
"709",13.093692069536,0.0739050218088367,"Morocco",2020-12-29,13.2415021131537,12.9458820259183
"710",13.1039005266401,0.0748587981638622,"Morocco",2020-12-30,13.2536181229678,12.9541829303123
"711",13.1147802006621,0.0761166103737587,"Morocco",2020-12-31,13.2670134214096,12.9625469799146
"712",13.1266835586303,0.0786486295688873,"Morocco",2021-01-01,13.2839808177681,12.9693862994925
"713",13.1370336182972,0.0800103474150261,"Morocco",2021-01-02,13.2970543131273,12.9770129234672
"714",13.1465951938027,0.0808717443165655,"Morocco",2021-01-03,13.3083386824358,12.9848517051696
"715",9.73879814051432,0.0612817774996252,"Mozambique",2020-12-14,9.86136169551357,9.61623458551507
"716",9.7460267314734,0.0613288158604112,"Mozambique",2020-12-15,9.86868436319422,9.62336909975257
"717",9.75082970901631,0.0617157017618559,"Mozambique",2020-12-16,9.87426111254002,9.62739830549259
"718",9.75556938033714,0.0624323451757164,"Mozambique",2020-12-17,9.88043407068858,9.63070468998571
"719",9.761929865469,0.0617376843726723,"Mozambique",2020-12-18,9.88540523421434,9.63845449672366
"720",9.76914150455482,0.0628284425018104,"Mozambique",2020-12-19,9.89479838955844,9.6434846195512
"721",9.77326844610321,0.0652320871618668,"Mozambique",2020-12-20,9.90373262042694,9.64280427177947
"722",9.77779508868168,0.0652231016181602,"Mozambique",2020-12-21,9.908241291918,9.64734888544536
"723",9.78475503243348,0.0663784262789004,"Mozambique",2020-12-22,9.91751188499128,9.65199817987568
"724",9.78943419597755,0.0671647841915401,"Mozambique",2020-12-23,9.92376376436063,9.65510462759447
"725",9.79566615775322,0.0688877117298795,"Mozambique",2020-12-24,9.93344158121298,9.65789073429346
"726",9.80075183086753,0.0681053415731026,"Mozambique",2020-12-25,9.93696251401374,9.66454114772133
"727",9.80758749903546,0.0712874085814527,"Mozambique",2020-12-26,9.95016231619837,9.66501268187256
